Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8,New Orleans Pelicans,25,240.0,43.8,91.6,.479,10.0,28.8,.345,33.9,62.8,.540,20.5,26.6,.769,12.1,35.9,48.0,26.9,7.1,5.7,15.0,22.6,118.1
8,Toronto Raptors,25,242.0,43.9,89.1,.492,11.7,33.7,.346,32.2,55.4,.581,17.1,21.4,.801,10.0,35.8,45.7,25.2,8.2,5.4,14.3,22.0,116.6
8,Golden State Warriors,25,242.0,43.5,87.7,.496,11.3,29.4,.384,32.2,58.3,.552,18.1,22.0,.824,9.8,35.7,45.4,27.8,7.3,6.3,14.7,22.5,116.4
8,Philadelphia 76ers,25,244.0,40.3,87.2,.462,11.0,31.4,.352,29.2,55.8,.524,22.6,29.1,.775,10.0,38.0,48.0,26.5,6.8,5.4,15.6,23.1,114.2
8,New York Knicks,25,243.0,39.8,91.0,.438,10.0,29.2,.344,29.8,61.8,.482,19.3,24.6,.785,12.3,33.6,45.9,19.1,7.2,5.2,14.1,23.0,108.9
8,Brooklyn Nets,25,243.0,39.4,89.4,.441,12.0,34.8,.345,27.4,54.6,.502,17.7,24.1,.733,12.4,32.6,45.0,22.4,6.7,4.0,14.1,23.5,108.6
8,Los Angeles Clippers,23,243.3,42.3,88.7,.476,9.6,25.0,.383,32.7,63.7,.513,23.6,29.3,.807,9.5,36.8,46.3,22.6,6.0,5.3,13.4,23.0,117.7
8,Portland Trail Blazers,24,241.0,41.1,90.0,.457,11.3,31.7,.356,29.8,58.3,.511,19.0,23.0,.824,11.8,37.3,49.1,20.7,6.2,4.5,14.3,20.9,112.5
8,Washington Wizards,24,242.1,40.8,89.0,.459,10.5,32.5,.323,30.3,56.5,.537,19.5,25.9,.752,9.0,31.9,41.0,23.8,8.6,6.2,13.7,22.6,111.7
8,Utah Jazz,25,240.0,38.7,83.5,.464,10.8,32.0,.338,27.9,51.6,.542,18.8,26.2,.717,9.1,33.7,42.8,24.1,8.7,5.4,15.4,21.9,107.0
8,Milwaukee Bucks,22,242.3,44.7,91.6,.488,14.6,40.5,.361,30.0,51.1,.588,17.4,22.7,.764,10.0,40.5,50.5,27.4,7.0,6.0,14.8,21.1,121.4
8,Sacramento Kings,23,240.0,43.7,91.6,.477,10.7,27.6,.388,33.0,64.0,.516,16.5,23.7,.694,10.4,34.8,45.2,24.9,8.4,4.3,14.4,22.8,114.7
8,Charlotte Hornets,23,242.2,42.0,91.2,.461,12.0,33.8,.355,30.0,57.4,.523,18.3,23.1,.793,9.5,34.4,43.9,24.3,7.7,5.5,12.0,20.4,114.4
