Rk,Season,Tm,G,ORtg,eFG%,TOV%,FT/FGA,eFG%
1,1968-69,ATL*,82,,0.46,,0.244,
2,1969-70,ATL*,82,,0.483,,0.254,
3,1970-71,ATL*,82,,0.465,,0.273,0.446
4,1971-72,ATL*,82,,0.46,,0.267,0.465
5,1972-73,ATL*,82,,0.461,,0.226,0.461
6,1973-74,ATL,82,97.7,0.465,17.3,0.22,0.468
7,1974-75,ATL,82,98.3,0.438,14.8,0.226,0.475
8,1975-76,ATL,82,98.4,0.45,15.6,0.247,0.48
9,1976-77,ATL,82,97.8,0.457,17.7,0.256,0.478
10,1977-78,ATL*,82,99.7,0.46,16.1,0.253,0.474
11,1978-79,ATL*,82,105.6,0.473,15.2,0.262,0.489
12,1979-80,ATL*,82,105.2,0.465,15.4,0.29,0.461
13,1980-81,ATL,82,104.3,0.48,16.7,0.293,0.498
14,1981-82,ATL*,82,105.1,0.476,14.6,0.271,0.473
15,1982-83,ATL*,82,102.2,0.472,15,0.222,0.473
16,1983-84,ATL*,82,105.5,0.476,14.4,0.27,0.482
17,1984-85,ATL,82,105.9,0.489,15.3,0.25,0.485
18,1985-86,ATL*,82,107.9,0.493,15.3,0.282,0.481
19,1986-87,ATL*,82,112.6,0.49,13.3,0.283,0.46
20,1987-88,ATL*,82,111.3,0.491,13,0.264,0.481
21,1988-89,ATL*,82,112.2,0.48,13.5,0.3,0.482
22,1989-90,ATL,82,113,0.496,13.5,0.277,0.509
23,1990-91,ATL*,82,110.9,0.482,12.9,0.282,0.509
24,1991-92,ATL,82,107.3,0.481,13,0.203,0.497
25,1992-93,ATL*,82,109.3,0.493,14,0.227,0.516
26,1993-94,ATL*,82,107.2,0.48,13.6,0.221,0.475
27,1994-95,ATL*,82,106.6,0.487,13.9,0.211,0.495
28,1995-96,ATL*,82,109.4,0.49,14,0.229,0.512
29,1996-97,ATL*,82,108.5,0.498,14.6,0.236,0.472
30,1997-98,ATL*,82,108.2,0.481,14.1,0.275,0.468
31,1998-99,ATL*,50,100.5,0.436,14.5,0.277,0.437
32,1999-00,ATL,82,102,0.46,14.1,0.217,0.481
33,2000-01,ATL,82,98.7,0.456,15.5,0.206,0.472
34,2001-02,ATL,82,101.8,0.471,14.6,0.225,0.495
35,2002-03,ATL,82,102.3,0.476,15.7,0.248,0.469
36,2003-04,ATL,82,101,0.465,15.4,0.235,0.476
37,2004-05,ATL,82,100.6,0.464,14.9,0.212,0.513
38,2005-06,ATL,82,106.4,0.486,14.7,0.255,0.513
39,2006-07,ATL,82,103,0.471,15.1,0.263,0.503
40,2007-08,ATL*,82,106.9,0.483,14,0.263,0.501
41,2008-09,ATL*,82,109.3,0.504,12.5,0.238,0.494
42,2009-10,ATL*,82,111.9,0.506,11.4,0.213,0.496
43,2010-11,ATL*,82,106.1,0.501,13.5,0.209,0.495
44,2011-12,ATL*,66,104.9,0.5,13.4,0.192,0.48
45,2012-13,ATL*,82,104.8,0.517,14.2,0.174,0.496
46,2013-14,ATL*,82,105.9,0.515,14.3,0.208,0.51
47,2014-15,ATL*,82,108.9,0.527,13.5,0.201,0.492
48,2015-16,ATL*,82,105.1,0.516,13.8,0.185,0.48
49,2016-17,ATL*,82,104.9,0.504,14.2,0.215,0.507
50,2017-18,ATL,82,105,0.512,14.1,0.185,0.536
51,2018-19,ATL,25,102.4,0.504,15.1,0.198,0.545
52,1968-69,BAL*,82,,0.44,,0.234,
53,1969-70,BAL*,82,,0.458,,0.239,
54,1970-71,BAL*,82,,0.442,,0.226,0.446
55,1971-72,BAL*,82,,0.45,,0.233,0.452
56,1972-73,BAL*,82,,0.464,,0.164,0.441
57,1968-69,BOS*,82,,0.431,,0.233,
58,1969-70,BOS,82,,0.443,,0.259,
59,1970-71,BOS,82,,0.442,,0.232,0.44
60,1971-72,BOS*,82,,0.453,,0.218,0.444
61,1972-73,BOS*,82,,0.448,,0.19,0.434
62,1973-74,BOS*,82,98.6,0.456,16.8,0.21,0.443
63,1974-75,BOS*,82,100,0.458,15.8,0.199,0.444
64,1975-76,BOS*,82,98.9,0.446,15.4,0.209,0.449
65,1976-77,BOS*,82,96.5,0.445,16.1,0.212,0.45
