Rk,Season,Tm,G,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,PTS
1,1968-69,ATL*,82,0.585,19730,3605,7844,3605,7844,,,9123
2,1969-70,ATL*,82,0.585,19780,3817,7907,3817,7907,,,9646
3,1970-71,ATL*,82,0.439,19755,3614,7779,3614,7779,,,9348
4,1971-72,ATL*,82,0.439,19730,3482,7570,3482,7570,,,8982
5,1972-73,ATL*,82,0.561,19830,3700,8033,3700,8033,,,9219
6,1973-74,ATL,82,0.427,19755,3602,7744,3602,7744,,,8907
7,1974-75,ATL,82,0.378,19805,3424,7824,3424,7824,,,8620
8,1975-76,ATL,82,0.354,19805,3301,7338,3301,7338,,,8411
9,1976-77,ATL,82,0.378,19705,3279,7176,3279,7176,,,8394
10,1977-78,ATL*,82,0.5,19830,3335,7253,3335,7253,,,8506
11,1978-79,ATL*,82,0.561,19855,3505,7410,3505,7410,,,8950
12,1979-80,ATL*,82,0.61,19780,3261,7027,3248,6952,13,75,8573
13,1980-81,ATL,82,0.378,19930,3291,6866,3281,6784,10,82,8604
14,1981-82,ATL*,82,0.512,19880,3210,6776,3182,6648,28,128,8281
15,1982-83,ATL*,82,0.524,19780,3352,7146,3307,6958,45,188,8335
16,1983-84,ATL*,82,0.488,19855,3230,6809,3207,6703,23,106,8321
17,1984-85,ATL,82,0.415,19855,3444,7119,3371,6884,73,235,8743
18,1985-86,ATL*,82,0.61,19805,3447,7029,3414,6863,33,166,8906
19,1986-87,ATL*,82,0.695,19730,3435,7141,3300,6716,135,425,9024
20,1987-88,ATL*,82,0.61,19780,3443,7102,3358,6820,85,282,8844
21,1988-89,ATL*,82,0.634,19805,3412,7230,3302,6833,110,397,9102
22,1989-90,ATL,82,0.5,19730,3417,7019,3293,6608,124,411,8901
23,1990-91,ATL*,82,0.524,19755,3349,7223,3078,6387,271,836,9003
24,1991-92,ATL,82,0.463,19905,3492,7476,3282,6805,210,671,8711
25,1992-93,ATL*,82,0.524,19830,3392,7272,3010,6196,382,1076,8814
26,1993-94,ATL*,82,0.695,19755,3247,7039,2979,6209,268,830,8318
27,1994-95,ATL*,82,0.512,19855,2986,6680,2447,5100,539,1580,7921
28,1995-96,ATL*,82,0.561,19730,2985,6665,2419,5070,566,1595,8059
29,1996-97,ATL*,82,0.683,19805,2812,6307,2153,4473,659,1834,7774
30,1997-98,ATL*,82,0.61,19880,2887,6352,2550,5336,337,1016,7860
31,1998-99,ATL*,50,0.62,12075,1539,3760,1342,3116,197,644,4315
32,1999-00,ATL,82,0.341,19830,3000,6807,2742,5993,258,814,7735
33,2000-01,ATL,82,0.305,19730,2876,6668,2543,5735,333,933,7459
34,2001-02,ATL,82,0.402,19780,2901,6610,2478,5416,423,1194,7711
35,2002-03,ATL,82,0.427,19905,2859,6434,2457,5293,402,1141,7714
36,2003-04,ATL,82,0.341,19905,2829,6529,2410,5280,419,1249,7611
37,2004-05,ATL,82,0.159,19855,2942,6672,2638,5699,304,973,7605
